"x" "y" "condition"
"305" -2889.7088 -4000.2575 1
"306" -2891.81785 -3944.943 1
"307" -2874.65855 -3953.347 0
"308" -2872.36345 -3973.941 1
"309" -2865.6389 -3978.9145 1
"310" -2845.6002 -3949.906 0
"311" -2833.6482 -3927.3975 1
"312" -2833.73785 -3933.7295 1
"313" -2832.42515 -3924.676 1
"314" -2833.94745 -4024.4915 1
"315" -2833.2242 -4018.9535 1
"316" -2827.94015 -4029.457 1
"317" -2817.43545 -3985.4365 1
"318" -2814.2406 -3939.7265 1
"319" -2802.2886 -3917.218 0
"320" -2802.37825 -3923.55 0
"321" -2801.06555 -3914.4965 0
"322" -2829.35445 -4019.2145 1
"323" -2824.0704 -4029.718 1
"324" -2939.1669 -4044.6655 1
"325" -2923.69225 -4028.504 1
"326" -2919.37885 -4036.7765 0
"327" -2911.90385 -4030.88 0
"328" -2912.6276 -4036.886 0
"329" -2908.77995 -4028.0225 1
"330" -2900.10745 -4029.048 1
"331" -2896.30175 -4037.2215 0
"332" -2893.3829 -4034.0215 1
"333" -2889.8562 -4044.068 0
"334" -2889.13295 -4038.53 1
"335" -2883.8489 -4049.0335 0
"336" -2897.93275 -4044.4695 0
"337" -2860.70505 -4015.71 1
"338" -2856.89935 -4023.8835 1
"339" -2853.9805 -4020.6835 0
"340" -2850.4538 -4030.73 0
"341" -2849.73055 -4025.192 0
"342" -2844.4465 -4035.6955 0
"343" -2858.53035 -4031.1315 1
"344" -2821.80915 -3954.821 0
"345" -2809.85715 -3932.3125 1
"346" -2809.9468 -3938.6445 0
"347" -2808.6341 -3929.591 1
"348" -2845.99635 -3946.803 1
"349" -2835.3476 -3928.703 1
"350" -2826.3353 -3933.6355 0
"351" -2818.66915 -3942.4735 0
"352" -2815.8586 -3953.6875 0
"353" -2813.55525 -3940.879 0
"354" -2811.9741 -3984.617 1
"355" -2812.144 -3979.233 1
"356" -2803.38505 -3956.479 0
"357" -2804.16765 -3918.734 1
"358" -2800.39895 -3952.143 0
"359" -2795.14455 -3941.6905 0
"360" -2834.75045 -3947.573 1
"361" -2806.5857 -3983.1035 1
"362" -2803.39085 -3937.3935 0
"363" -2802.71595 -3983.3645 1
"364" -2810.9594 -3952.488 0
"365" -2916.27835 -3991.878 0
"366" -2911.96495 -4000.1505 0
"367" -2912.14795 -3963.424 1
"368" -2904.48995 -3994.254 0
"369" -2905.2137 -4000.26 0
"370" -2901.36605 -3991.3965 0
"371" -2894.98865 -3971.828 0
"372" -2892.69355 -3992.422 0
"373" -2888.88785 -4000.5955 0
"374" -2885.969 -3997.3955 0
"375" -2882.4423 -4007.442 1
"376" -2881.71905 -4001.904 1
"377" -2890.51885 -4007.8435 1
"378" -2900.59075 -4013.954 1
"379" -2896.53065 -4003.3125 1
"380" -2891.09175 -3993.0645 1
"381" -2886.9035 -4031.875 1
"382" -2886.11995 -4028.1555 1
"383" -2880.23155 -3995.914 0
"384" -2874.3506 -3978.6365 1
"385" -2840.32835 -4016.4505 1
"386" -2840.49825 -4011.0665 1
"387" -2836.74565 -4020.4285 1
"388" -2888.7391 -3998.4535 1
"389" -2886.56975 -3993.68 1
"390" -2882.62475 -3990.3015 1
"391" -2863.1047 -3979.4065 1
"392" -2834.93995 -4014.937 1
"393" -2890.8487 -4034.5135 1
"394" -2851.4463 -4021.1755 0
"395" -2883.4348 -3997.8875 0
"396" -2873.49975 -4042.7835 1
"397" -2872.7162 -4039.064 1
"398" -2826.9246 -4027.359 0
"399" -2827.0945 -4021.975 0
"400" -2823.3419 -4031.337 0
"401" -2818.5674 -4033.6185 1
"402" -2812.65285 -4039.215 1
"403" -2808.93365 -4029.237 1
"404" -2807.5614 -4041.2135 1
"405" -2821.5362 -4025.8455 0
"406" -2817.66645 -4026.1065 1
"407" -2838.04255 -4032.084 0
"408" -2817.5993 -3952.7665 0
"409" -2805.6473 -3930.258 0
"410" -2805.73695 -3936.59 0
"411" -2804.42425 -3927.5365 1
"412" -2806.74955 -3950.4335 0
"413" -2825.09325 -2854.396 1
"414" -2818.0629 -2854.545 1
"415" -2812.35865 -2856.0495 1
"416" -2688.6347 -3141.0695 1
"417" -2764.21655 -3956.345 1
"418" -2761.23045 -3952.009 1
"419" -2755.97605 -3941.5565 1
"420" -2764.22235 -3937.2595 1
"421" -2767.58105 -3950.2995 1
"422" -2731.0938 -3940.051 0
"423" -2733.016 -3913.9595 1
"424" -2732.18545 -3925.6635 1
"425" -2752.56585 -4009.987 1
"426" -2751.1936 -4021.9635 1
"427" -2747.71255 -4012.035 1
"428" -2744.9383 -4016.03 1
"429" -2741.42835 -4023.075 1
"430" -2761.29865 -4006.8565 1
"431" -2732.51295 -4012.41 0
"432" -2728.845 -3963.677 1
"433" -2728.6082 -3940.2005 0
"434" -2726.3594 -3963.8265 1
"435" -2749.069 -4008.2165 1
"436" -2744.2157 -4010.2645 1
"437" -2741.44145 -4014.2595 1
"438" -2737.9315 -4021.3045 1
"439" -2729.0161 -4010.6395 0
"440" -2725.34815 -3961.9065 1
"441" -2722.86255 -3962.056 1
"442" -2726.40535 -3925.6975 1
"443" -2745.3854 -4006.605 1
"444" -2740.5321 -4008.653 1
"445" -2737.75785 -4012.648 1
"446" -2725.3325 -4009.028 1
"447" -2721.66455 -3960.295 1
"448" -2719.17895 -3960.4445 1
"449" -2720.27905 -4009.242 0
"450" -2716.7822 -4007.4715 0
"451" -2713.0986 -4005.86 0
"452" -2744.26255 -4009.984 1
"453" -2739.40925 -4012.032 1
"454" -2736.635 -4016.027 1
"455" -2733.12505 -4023.072 1
"456" -2724.20965 -4012.407 1
"457" -2720.5417 -3963.674 1
"458" -2718.0561 -3963.8235 1
"459" -2711.97575 -4009.239 0
