"ligand_gene_symbol" "receptor_gene_symbol"
"337" "Ccn2" "Ntrk1"
"338" "Ccn2" "Fgfr2"
"339" "Ccn2" "Lrp6"
"340" "Ccn2" "Itgam"
"341" "Ccn2" "Lrp1"
"342" "Hsp90b1" "Tlr9"
"343" "Hsp90b1" "Lrp1"
"344" "Hsp90b1" "Tlr2"
"345" "Hsp90b1" "Tlr4"
"346" "Hsp90b1" "Lrp6"
"347" "Fgf18" "Fgfr1"
"348" "Fgf18" "Fgfr2"
"349" "Fgf18" "Fgfr3"
"350" "Madcam1" "Itga4"
"351" "Fgf22" "Fgfr1"
"352" "Fgf22" "Fgfr2"
"353" "Il13" "Il13ra2"
"354" "Il13" "Il13ra1"
"355" "Il13" "Il4ra"
"356" "Pomc" "Mc2r"
"357" "Pomc" "Mc4r"
"358" "Pomc" "Oprm1"
"359" "Pomc" "Mc3r"
"360" "Pomc" "Mc1r"
"361" "Pomc" "Mc5r"
"362" "Pomc" "Oprd1"
"363" "Ccl7" "Ccr1"
"364" "Ccl7" "Ccr2"
"365" "Ccl7" "Ccr5"
"366" "Ccl7" "Ccr10"
"367" "Ccl7" "Cxcr3"
"368" "Ccl7" "Ccr3"
"369" "Tac4" "Tacr1"
"370" "Gng4" "Kcnj6"
"371" "Prl7d1" "Prlr"
"372" "Prl2c5" "Prlr"
"373" "Prl4a1" "Prlr"
"374" "Edn1" "Ednrb"
"375" "Edn1" "Kel"
"376" "Edn1" "Ednra"
"377" "Sema4d" "Cd72"
"378" "Sema4d" "Plxnb1"
"379" "Sema4d" "Erbb2"
"380" "Sema4d" "Met"
"381" "Sema4d" "Plxnb2"
"382" "Sema4d" "Plxna2"
"383" "Cxcl14" "Cxcr4"
"384" "Il9" "Il9r"
"385" "Thbs4" "Notch1"
"386" "Fgf10" "Fgfr1"
"387" "Fgf10" "Fgfr2"
"388" "Fgf10" "Fgfr3"
"389" "Nid2" "Col13a1"
"390" "Plau" "Lrp2"
"391" "Plau" "Lrp1"
"392" "Plau" "Mrc2"
"393" "Plau" "Igf2r"
"394" "Vcl" "Alk"
"395" "Arf4" "Lrp2"
"396" "Fgf9" "Fgfr1"
"397" "Fgf9" "Fgfr2"
"398" "Fgf9" "Fgfr3"
"399" "Tnfsf11" "Lgr4"
"400" "Tnfsf11" "Tnfrsf11b"
"401" "Tnfsf11" "Itga2b"
"402" "Tnfsf11" "Tnfrsf11a"
"403" "Clu" "Lrp8"
"404" "Clu" "Lrp2"
"405" "Clu" "Vldlr"
"406" "Adam2" "Itga6"
"407" "Adam2" "Itgb1"
"408" "Adam2" "Cd9"
"409" "Adam2" "Itga9"
"410" "Fgf17" "Fgfr1"
"411" "Fgf17" "Fgfr2"
"412" "Fgf17" "Fgfr3"
"413" "Gdnf" "Gfra4"
"414" "Gdnf" "Gfra3"
"415" "Gdnf" "Gfra1"
"416" "Gdnf" "Sdc3"
"417" "Gdnf" "Ret"
"418" "Gdnf" "Sorl1"
"419" "Angpt1" "Itga5"
"420" "Angpt1" "Tek"
"421" "Col2a1" "Itgav"
"422" "Col2a1" "Itga2b"
"423" "Col2a1" "Itga2"
"424" "Col2a1" "Itga1"
"425" "Col2a1" "Mag"
"426" "Pla2g10" "Pla2r1"
"427" "Ahsg" "Insr"
"428" "Hrg" "Erbb3"
"429" "Hrg" "Erbb2"
"430" "Adipoq" "Adipor1"
"431" "Adipoq" "Adipor2"
"432" "Prl2a1" "Prlr"
"433" "Pros1" "Tyro3"
"434" "Wnt10b" "Fzd8"
"435" "Wnt10b" "Lrp6"
"436" "Wnt10b" "Fzd5"
"437" "Wnt10b" "Fzd4"
"438" "Wnt10b" "Fzd7"
"439" "Wnt1" "Lrp5"
"440" "Wnt1" "Fzd1"
"441" "Wnt1" "Fzd10"
"442" "Wnt1" "Fzd9"
"443" "Wnt1" "Fzd8"
"444" "Wnt1" "Lrp6"
"445" "Wnt1" "Fzd5"
"446" "Wnt1" "Fzd7"
"447" "Npff" "Npffr2"
"448" "Cxcl13" "Cxcr5"
"449" "Cxcl13" "Cxcr3"
"450" "Cxcl13" "Ackr4"
"451" "Ccl25" "Ccr9"
"452" "Ccl25" "Ackr2"
"453" "Ccl25" "Ackr4"
"454" "Guca2a" "Gucy2c"
"455" "Bmp15" "Bmpr1b"
"456" "Bmp15" "Bmpr2"
"457" "Bmp15" "Acvr1c"
"458" "Bmp15" "Bmpr1a"
"459" "Gnb3" "Kcnj6"
"460" "Crisp2" "Catsper1"
"461" "Tff2" "Muc6"
"462" "Ntn3" "Dcc"
"463" "Ntn3" "Neo1"
"464" "C3" "Cd46"
"465" "C3" "Cd55"
"466" "C3" "Lrp1"
"467" "C3" "C3ar1"
"468" "C3" "Cr2"
"469" "C3" "C5ar2"
"470" "C3" "Cd19"
"471" "C3" "Itgam"
"472" "C3" "Cd81"
"473" "Tslp" "Crlf2"
"474" "Apom" "Lrp2"
"475" "Ltb" "Tnfrsf1a"
"476" "Ltb" "Ltbr"
"477" "Tnf" "Rhbdf2"
"478" "Tnf" "Tnfrsf1a"
"479" "Tnf" "Tnfrsf1b"
"480" "Lta" "Tnfrsf1a"
"481" "Lta" "Tnfrsf14"
"482" "Lta" "Ltbr"
"483" "Lta" "Tnfrsf1b"
"484" "Hbegf" "Erbb3"
"485" "Hbegf" "Cd9"
"486" "Hbegf" "Erbb2"
"487" "Hbegf" "Erbb4"
"488" "Scgb1a1" "Lrp2"
"489" "Anxa1" "Fpr2"
"490" "Anxa1" "Fpr1"
"491" "Anxa1" "Dysf"
"492" "Il33" "Il1rl1"
"493" "Il33" "Il1rap"
"494" "Dkk1" "Kremen2"
"495" "Dkk1" "Lrp5"
"496" "Dkk1" "Lrp6"
"497" "Gal" "Gpr151"
"498" "Gal" "Galr1"
"499" "Gal" "Galr2"
"500" "Vegfb" "Flt1"
"501" "Vegfb" "Nrp1"
"502" "Rbp4" "Stra6"
"503" "Slit1" "Robo2"
"504" "Slit1" "Plxna1"
"505" "Slit1" "Gpc1"
"506" "Slit1" "Flrt3"
"507" "Sema4g" "Plxnb2"
"508" "Fgf8" "Fgfr1"
"509" "Fgf8" "Fgfr2"
"510" "Fgf8" "Fgfr3"
"511" "Gdf11" "Acvr2b"
"512" "Gdf11" "Acvr2a"
"513" "Gdf11" "Acvr1c"
"514" "Il23a" "Il23r"
"515" "Inhbc" "Acvr2b"
"516" "Inhbc" "Acvr2a"
"517" "Hras" "Tlr9"
"518" "Hras" "Tlr2"
"519" "Podxl" "Sell"
"520" "Nmb" "Brs3"
"521" "Il6" "Il6ra"
"522" "Il6" "Il6st"
"523" "Il17a" "Il17rd"
"524" "Il17a" "Il17rc"
"525" "Ctla4" "Cd80"
"526" "Mstn" "Acvr2b"
"527" "Mstn" "Acvr2a"
"528" "Nppc" "Npr3"
"529" "Nppc" "Npr1"
"530" "Nppc" "Npr2"
"531" "Il20" "Il20rb"
"532" "Il20" "Il22ra1"
"533" "Lamc2" "Itga6"
"534" "Lamc2" "Itgb1"
"535" "Lamc2" "Itgb4"
"536" "Xcl1" "Xcr1"
"537" "Angptl1" "Tek"
"538" "Tnfsf4" "Traf2"
"539" "Tnfsf4" "Tnfrsf4"
"540" "Cel" "Cxcr4"
"541" "Hc" "C5ar2"
"542" "Hc" "C5ar1"
"543" "Il1f6" "Il1rap"
"544" "Il1f6" "Il1rl2"
"545" "Il1f8" "Il1rap"
"546" "Il1f8" "Il1rl2"
"547" "Fshb" "Fshr"
"548" "Lin7c" "Abca1"
"549" "Lin7c" "Htr2c"
"550" "Mdk" "Itgb1"
"551" "Mdk" "Lrp6"
"552" "Mdk" "Alk"
"553" "Mdk" "Ptprz1"
"554" "Mdk" "Lrp1"
"555" "F2" "Thbd"
