"X" "Y" "typename"
"Cell 214" 1731.5 1055.3 "Neuroblast"
"Cell 215" 1406.4 1054.8 "Neuroblast"
"Cell 216" 1084.6 1060.4 "Microglia"
"Cell 217" 1527.9 1075.7 "Neuroblast"
"Cell 218" 1567.9 1075.7 "Neuroblast"
"Cell 219" 494.96 1090.2 "Neuroblast"
"Cell 220" 911.84 1082 "Neural stem cell"
"Cell 221" 1755.3 1091.1 "Neuroblast"
"Cell 222" 1066.3 1096.4 "Neural stem cell"
"Cell 223" 1482.1 1092.6 "Neural stem cell"
"Cell 224" 438.82 1096.8 "Neuroblast"
"Cell 225" 379.99 1098.7 "Neuroblast"
"Cell 226" 676.38 1101 "Neural progenitors"
"Cell 227" 1790.6 1111.9 "Neuroblast"
"Cell 228" 1424.4 1111.4 "Neural stem cell"
"Cell 229" 1604.9 1111.6 "Neural progenitors"
"Cell 230" 1661.9 1117.9 "Neuroblast"
"Cell 231" 1018.3 1134.5 "Neural progenitors"
"Cell 232" 725.92 1139.5 "Neuroblast"
"Cell 233" 1693.7 1142.2 "Neuroblast"
"Cell 234" 430.84 1141.7 "Neural progenitors"
"Cell 235" 777.81 1142.8 "Neuroblast"
"Cell 236" 512.39 1143.3 "Excitatory layer 5/6"
"Cell 237" 1081.6 1145.1 "Neuroblast"
"Cell 238" 1314.4 1152.6 "Neuroblast"
"Cell 239" 483.26 1161.4 "Interneuron"
"Cell 240" 820.82 1169.6 "Neural stem cell"
"Cell 241" 1383.3 1171.9 "Neuroblast"
"Cell 242" 1264.2 1188.7 "Neural stem cell"
"Cell 243" 466.23 1193.2 "Neural progenitors"
"Cell 244" 902.94 1193.8 "Neural stem cell"
"Cell 245" 961.03 1191.1 "Neuroblast"
"Cell 246" 416.6 1202.9 "Neuroblast"
"Cell 247" 1167.4 1203 "Neural progenitors"
"Cell 248" 763.6 1211 "Neural stem cell"
"Cell 249" 1013.2 1214.3 "Neural progenitors"
"Cell 250" 1731.2 1216.9 "Neuroblast"
"Cell 251" 1073.5 1223.1 "Neural progenitors"
"Cell 252" 909.97 1231.2 "unannotated"
"Cell 253" 1651.6 1234.9 "Neural progenitors"
"Cell 254" 1701.9 1239.7 "Neural progenitors"
"Cell 255" 633.35 1243.5 "Neural stem cell"
"Cell 256" 1213.1 1257.1 "Endothelial"
"Cell 257" 922.88 1266.4 "Neural stem cell"
"Cell 258" 1073.8 1272.5 "Neuroblast"
"Cell 259" 1369.4 1281.2 "Neural stem cell"
"Cell 260" 1146.5 1287 "Neuroblast"
"Cell 261" 543.26 1297.4 "Neural stem cell"
"Cell 262" 781.33 1307.9 "Neuroblast"
"Cell 263" 628.89 1311.4 "OPC"
"Cell 264" 1011 1322.9 "Neural stem cell"
"Cell 265" 1340.4 1324.3 "unannotated"
"Cell 266" 1078.5 1322.9 "Neuroblast"
"Cell 267" 701.92 1334.7 "Excitatory layer 5/6"
"Cell 268" 1132.9 1333.9 "Endothelial"
"Cell 269" 1390.7 1330 "Neural stem cell"
"Cell 270" 1129 1382.2 "Microglia"
"Cell 271" 1187 1392.8 "Neural progenitors"
"Cell 272" 1338.9 1394.3 "Astrocytes"
"Cell 273" 1263.1 1422.6 "Neural progenitors"
"Cell 274" 1414.2 1420.6 "Neural progenitors"
"Cell 275" 1061.1 1446.7 "Neural stem cell"
"Cell 276" 912.22 1453.7 "Oligodendrocytes"
"Cell 277" 1636.4 1504.4 "Neural stem cell"
"Cell 278" 1517.5 1548.2 "Neural stem cell"
"Cell 279" 598.46 1668.9 "Oligodendrocytes"
"Cell 280" 342.92 1682.3 "Neural stem cell"
"Cell 281" 817.56 1008.9 "Neural progenitors"
